PROCEDURE_CODE,DRUG_NAME_WITH_FORM_STRENGTH,DOSAGE_FORM,CLAIM_COUNT,CLAIMS_FREQUENCY_PERCENTAGE,DISTINCT_MEMBERS,MEMBER_PERCENTAGE,TOTAL_BENEFIT_AMOUNT,BENEFIT_PERCENTAGE
00078107068,Cosentyx UnoReady 300MG/2ML Solution Auto-injector,SOAJ,18,0.02%,2,0.00%,"  155,793 ",0.55%
50242021501,Xolair 150MG/ML Solution Prefilled Syringe,SOSY,38,0.03%,6,0.01%,"  152,091 ",0.54%
50474071079,Cimzia Prefilled 2 X 200MG/ML Prefilled Syringe Kit,PSKT,26,0.02%,3,0.01%,"  149,173 ",0.53%
00078063968,Cosentyx Sensoready Pen 150MG/ML Solution Auto-injector,SOAJ,17,0.01%,2,0.00%,"  147,578 ",0.52%
00074012402,Humira Pen 80MG/0.8ML Pen-injector Kit,AJKT,10,0.01%,1,0.00%,"  135,407 ",0.48%
50242014301,Actemra ACTPen 162MG/0.9ML Solution Auto-injector,SOAJ,29,0.03%,3,0.01%,"  134,196 ",0.48%
00002771227,HumaLOG KwikPen 200UNIT/ML Solution Pen-injector,SOPN,65,0.06%,8,0.01%,"  127,580 ",0.45%
00074709430,Qulipta 60MG Tablet,TABS,106,0.09%,22,0.04%,"  127,376 ",0.45%
00002223680,Trulicity 3MG/0.5ML Solution Pen-injector,SOAJ,111,0.10%,25,0.04%,"  125,687 ",0.45%
80739081218,Krazati 200MG Tablet,TABS,10,0.01%,1,0.00%,"  124,602 ",0.44%
49702024213,Juluca 50-25MG Tablet,TABS,33,0.03%,3,0.01%,"  118,558 ",0.42%
00078109820,Scemblix 40MG Tablet,TABS,5,0.00%,1,0.00%,"  117,400 ",0.42%
00173089201,Nucala 100MG/ML Solution Auto-injector,SOAJ,32,0.03%,2,0.00%,"  115,238 ",0.41%
08508300021,Omnipod 5 G6 Pod (Gen 5)  Miscellaneous,MISC,137,0.12%,18,0.03%,"  111,973 ",0.40%
00078063941,Cosentyx Sensoready (300 MG) 150MG/ML Solution Auto-injector,SOAJ,15,0.01%,3,0.01%,"  110,683 ",0.39%
00074231030,Rinvoq 30MG Tablet Extended Release 24 HR,TB24,17,0.01%,3,0.01%,"  109,369 ",0.39%
70370108001,Ingrezza 80MG Capsule,CAPS,13,0.01%,2,0.00%,"  107,530 ",0.38%
59627033304,Avonex Pen 30MCG/0.5ML Auto-injector kit,AJKT,11,0.01%,1,0.00%,"  104,770 ",0.37%
00069050130,Xeljanz XR 11MG Tablet Extended Release 24 HR,TB24,18,0.02%,1,0.00%,"  104,597 ",0.37%
55513019001,Neulasta 6MG/0.6ML Solution Prefilled Syringe,SOSY,5,0.00%,1,0.00%,"  95,885 ",0.34%
57894064001,Tremfya 100MG/ML Solution Prefilled Syringe,SOSY,7,0.01%,1,0.00%,"  95,556 ",0.34%
51144000212,Tukysa 150MG Tablet,TABS,3,0.00%,1,0.00%,"  95,064 ",0.34%
00169431430,Rybelsus 14MG Tablet,TABS,74,0.06%,19,0.03%,"  93,057 ",0.33%
00173088710,"Trelegy Ellipta 100-62.5-25MCG/ACT Aerosol Powder, Breath Activated",AEPB,137,0.12%,21,0.04%,"  92,801 ",0.33%
72187010203,Orserdu 345MG Tablet,TABS,4,0.00%,1,0.00%,"  91,727 ",0.33%
68727015001,Xywav 500MG/ML Solution,SOLN,4,0.00%,1,0.00%,"  88,495 ",0.31%
00002143480,Trulicity 1.5MG/0.5ML Solution Pen-injector,SOAJ,90,0.08%,27,0.05%,"  87,751 ",0.31%
64764010821,Entyvio 108MG/0.68ML Solution Pen-injector,SOAJ,8,0.01%,2,0.00%,"  87,339 ",0.31%
00002143380,Trulicity 0.75MG/0.5ML Solution Pen-injector,SOAJ,88,0.08%,20,0.03%,"  86,291 ",0.31%
00074106501,Skyrizi 180MG/1.2ML Solution Cartridge,SOCT,4,0.00%,2,0.00%,"  84,906 ",0.30%
64406002003,Vumerity 231MG Capsule Delayed Release,CPDR,10,0.01%,2,0.00%,"  84,175 ",0.30%
00074379902,Humira 40MG/0.8ML Prefilled Syringe Kit,PSKT,12,0.01%,1,0.00%,"  81,244 ",0.29%
44087400009,Mavenclad (9 Tabs) 10MG Tablet Therapy Pack,TBPK,1,0.00%,1,0.00%,"  80,666 ",0.29%
00002814901,Humatrope 24MG Cartridge,CART,22,0.02%,1,0.00%,"  80,337 ",0.29%
00310621030,Farxiga 10MG Tablet,TABS,120,0.10%,45,0.08%,"  75,781 ",0.27%
00078086742,Kisqali (400 MG Dose) 200MG Tablet Therapy Pack,TBPK,5,0.00%,1,0.00%,"  74,516 ",0.26%
00003085222,Sprycel 100MG Tablet,TABS,4,0.00%,1,0.00%,"  71,161 ",0.25%
00074104328,Rinvoq 45MG Tablet Extended Release 24 HR,TB24,6,0.01%,3,0.01%,"  70,959 ",0.25%
44087400007,Mavenclad (7 Tabs) 10MG Tablet Therapy Pack,TBPK,1,0.00%,1,0.00%,"  70,583 ",0.25%
00480124328,Lenalidomide 10MG Capsule,CAPS,5,0.00%,1,0.00%,"  70,481 ",0.25%
08627005303,Dexcom G6 Sensor  Miscellaneous,MISC,210,0.18%,36,0.06%,"  68,825 ",0.24%
51759020210,Ajovy 225MG/1.5ML Solution Auto-injector,SOAJ,93,0.08%,23,0.04%,"  68,313 ",0.24%
00597015390,Jardiance 25MG Tablet,TABS,63,0.05%,19,0.03%,"  67,231 ",0.24%
00173089310,"Trelegy Ellipta 200-62.5-25MCG/ACT Aerosol Powder, Breath Activated",AEPB,70,0.06%,18,0.03%,"  67,169 ",0.24%
51167033101,Trikafta 100-50-75 & 150MG Tablet Therapy Pack,TBPK,2,0.00%,1,0.00%,"  66,385 ",0.24%
00023650110,Ubrelvy 100MG Tablet,TABS,49,0.04%,17,0.03%,"  65,270 ",0.23%
44087004403,Rebif 44MCG/0.5ML Solution Prefilled Syringe,SOSY,6,0.01%,1,0.00%,"  65,049 ",0.23%
58406002104,Enbrel 50MG/ML Solution Prefilled Syringe,SOSY,9,0.01%,2,0.00%,"  65,023 ",0.23%
50458057930,Xarelto 20MG Tablet,TABS,82,0.07%,25,0.04%,"  64,611 ",0.23%
00169430730,Rybelsus 7MG Tablet,TABS,62,0.05%,19,0.03%,"  63,039 ",0.22%
50419039501,Nubeqa 300MG Tablet,TABS,6,0.01%,2,0.00%,"  62,925 ",0.22%
59676080030,Symtuza 800-150-200-10MG Tablet,TABS,9,0.01%,2,0.00%,"  62,546 ",0.22%
72786011103,Oxbryta 300MG Tablet Soluble,TBSO,3,0.00%,1,0.00%,"  62,450 ",0.22%
00002318280,Trulicity 4.5MG/0.5ML Solution Pen-injector,SOAJ,64,0.06%,14,0.02%,"  61,103 ",0.22%
50242010040,Pulmozyme 2.5MG/2.5ML Solution,SOLN,15,0.01%,2,0.00%,"  59,733 ",0.21%
72511076002,Repatha SureClick 140MG/ML Solution Auto-injector,SOAJ,92,0.08%,18,0.03%,"  59,370 ",0.21%
00469072560,Xtandi 80MG Tablet,TABS,4,0.00%,1,0.00%,"  59,206 ",0.21%
00002771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector,SOPN,134,0.12%,34,0.06%,"  58,518 ",0.21%
00169770821,Norditropin FlexPro 15MG/1.5ML Solution Pen-injector,SOPN,8,0.01%,1,0.00%,"  57,199 ",0.20%
49702023113,Triumeq 600-50-300MG Tablet,TABS,11,0.01%,1,0.00%,"  57,076 ",0.20%
00310461612,Breztri Aerosphere 160-9-4.8MCG/ACT Aerosol,AERO,84,0.07%,17,0.03%,"  57,001 ",0.20%
00002143611,Emgality 120MG/ML Solution Auto-injector,SOAJ,79,0.07%,19,0.03%,"  55,875 ",0.20%
64764030020,Entyvio 300MG Solution Reconstituted,SOLR,6,0.01%,3,0.01%,"  54,718 ",0.19%
73562011401,Zenpep 40000-126000UNIT Capsule Delayed Release Particles,CPEP,12,0.01%,1,0.00%,"  53,237 ",0.19%
50881000560,Jakafi 5MG Tablet,TABS,3,0.00%,1,0.00%,"  53,222 ",0.19%
00074709630,Qulipta 30MG Tablet,TABS,42,0.04%,9,0.02%,"  52,584 ",0.19%
00186077760,Brilinta 90MG Tablet,TABS,103,0.09%,12,0.02%,"  51,885 ",0.18%
62856072030,Lenvima (20 MG Daily Dose) 2 x 10MG Capsule Therapy Pack,CPPK,2,0.00%,1,0.00%,"  51,415 ",0.18%
00032301613,Creon 36000-114000UNIT Capsule Delayed Release Particles,CPEP,16,0.01%,3,0.01%,"  50,856 ",0.18%
88888888888,Compound Drug coverage,#N/A,478,0.42%,208,0.36%,"  50,059 ",0.18%
61958190101,Genvoya 150-150-200-10MG Tablet,TABS,12,0.01%,2,0.00%,"  49,282 ",0.18%
61874013030,Vraylar 3MG Capsule,CAPS,33,0.03%,10,0.02%,"  47,153 ",0.17%
00078065920,Entresto 24-26MG Tablet,TABS,52,0.05%,14,0.02%,"  46,761 ",0.17%
57599081800,FreeStyle Libre 3 Sensor  Miscellaneous,MISC,392,0.34%,89,0.15%,"  46,473 ",0.17%
00078063997,Cosentyx 150MG/ML Solution Prefilled Syringe,SOSY,6,0.01%,1,0.00%,"  45,109 ",0.16%
72511040002,Amjevita 40MG/0.8ML Solution Auto-injector,SOAJ,14,0.01%,1,0.00%,"  43,961 ",0.16%
00642747001,Slynd 4MG Tablet,TABS,126,0.11%,32,0.05%,"  43,153 ",0.15%
00074105001,Skyrizi 150MG/ML Solution Prefilled Syringe,SOSY,2,0.00%,1,0.00%,"  43,111 ",0.15%
50242014501,Perjeta 420MG/14ML Solution,SOLN,2,0.00%,1,0.00%,"  42,771 ",0.15%
00002822259,Insulin Lispro (1 Unit Dial) 100UNIT/ML Solution Pen-injector,SOPN,175,0.15%,47,0.08%,"  42,445 ",0.15%
72028017803,Wakix 17.8MG Tablet,TABS,5,0.00%,1,0.00%,"  42,390 ",0.15%
72028004503,Wakix 4.45MG Tablet,TABS,5,0.00%,1,0.00%,"  42,390 ",0.15%
00430042014,Lo Loestrin Fe 1 MG-10 MCG /10 MCG Tablet,TABS,151,0.13%,29,0.05%,"  42,342 ",0.15%
70710103107,Lenalidomide 5MG Capsule,CAPS,3,0.00%,1,0.00%,"  42,288 ",0.15%
55513084301,Aimovig 140MG/ML Solution Auto-injector,SOAJ,48,0.04%,10,0.02%,"  40,724 ",0.14%
83457012402,Humira (2 Pen) 80MG/0.8ML Auto-injector kit,AJKT,3,0.00%,1,0.00%,"  40,622 ",0.14%
00024587102,Toujeo Max SoloStar 300UNIT/ML Solution Pen-injector,SOPN,63,0.05%,11,0.02%,"  40,571 ",0.14%
00002249580,Zepbound 5MG/0.5ML Solution Auto-injector,SOAJ,38,0.03%,19,0.03%,"  39,167 ",0.14%
00002250680,Zepbound 2.5MG/0.5ML Solution Auto-injector,SOAJ,38,0.03%,24,0.04%,"  38,978 ",0.14%
00597030045,Synjardy XR 12.5-1000MG Tablet Extended Release 24 HR,TB24,61,0.05%,9,0.02%,"  38,626 ",0.14%
61874011530,Vraylar 1.5MG Capsule,CAPS,29,0.03%,16,0.03%,"  37,983 ",0.13%
00006027754,Januvia 100MG Tablet,TABS,48,0.04%,11,0.02%,"  37,600 ",0.13%
51144000160,Tukysa 50MG Tablet,TABS,6,0.01%,1,0.00%,"  37,427 ",0.13%
66215060214,Uptravi 200MCG Tablet,TABS,1,0.00%,1,0.00%,"  36,099 ",0.13%
00003089321,Eliquis 2.5MG Tablet,TABS,44,0.04%,17,0.03%,"  35,969 ",0.13%
00069532130,Paxlovid (300/100) 20 x 150 MG &10 x 100MG Tablet Therapy Pack,TBPK,24,0.02%,24,0.04%,"  35,874 ",0.13%
00078069620,Entresto 97-103MG Tablet,TABS,46,0.04%,10,0.02%,"  35,549 ",0.13%
00074433902,Humira Pen 40MG/0.8ML Pen-injector Kit,AJKT,5,0.00%,2,0.00%,"  33,852 ",0.12%
00078077720,Entresto 49-51MG Tablet,TABS,40,0.03%,10,0.02%,"  33,592 ",0.12%
64842102003,Lonsurf 20-8.19MG Tablet,TABS,2,0.00%,1,0.00%,"  33,491 ",0.12%
73362001001,Skytrofa 11MG Cartridge,CART,5,0.00%,1,0.00%,"  33,273 ",0.12%
00456120230,Linzess 290MCG Capsule,CAPS,43,0.04%,11,0.02%,"  31,944 ",0.11%
00169452514,Wegovy 0.25MG/0.5ML Solution Auto-injector,SOAJ,23,0.02%,13,0.02%,"  31,660 ",0.11%
00169266015,Tresiba FlexTouch 100UNIT/ML Solution Pen-injector,SOPN,56,0.05%,20,0.03%,"  31,285 ",0.11%
50881000705,Opzelura 1.5% Cream,CREA,15,0.01%,6,0.01%,"  30,917 ",0.11%
72060012140,Caplyta 21MG Capsule,CAPS,14,0.01%,5,0.01%,"  29,896 ",0.11%
57599080000,FreeStyle Libre 2 Sensor  Miscellaneous,MISC,281,0.24%,49,0.08%,"  29,673 ",0.11%
00456120130,Linzess 145MCG Capsule,CAPS,45,0.04%,20,0.03%,"  28,805 ",0.10%
00002144509,Taltz 80MG/ML Solution Auto-injector,SOAJ,4,0.00%,1,0.00%,"  28,737 ",0.10%
73562011701,Zenpep 60000-189600UNIT Capsule Delayed Release Particles,CPEP,6,0.01%,1,0.00%,"  28,633 ",0.10%
00310737020,Budesonide-Formoterol Fumarate 160-4.5MCG/ACT Aerosol,AERO,134,0.12%,48,0.08%,"  28,571 ",0.10%
55513012301,Tezspire 210MG/1.91ML Solution Auto-injector,SOAJ,6,0.01%,2,0.00%,"  27,855 ",0.10%
00024591902,Dupixent 200MG/1.14ML Solution Pen-injector,SOAJ,7,0.01%,2,0.00%,"  27,506 ",0.10%
00024591801,Dupixent 200MG/1.14ML Solution Prefilled Syringe,SOSY,5,0.00%,2,0.00%,"  27,319 ",0.10%
00597014360,Ofev 100MG Capsule,CAPS,2,0.00%,1,0.00%,"  27,249 ",0.10%
42388002526,Cabometyx 40MG Tablet,TABS,1,0.00%,1,0.00%,"  26,512 ",0.09%
00006027731,Januvia 100MG Tablet,TABS,46,0.04%,12,0.02%,"  26,176 ",0.09%
00597014030,Tradjenta 5MG Tablet,TABS,39,0.03%,8,0.01%,"  25,839 ",0.09%
00074262528,Mavyret 100-40MG Tablet,TABS,1,0.00%,1,0.00%,"  25,819 ",0.09%
62856072005,Lenvima (20 MG Daily Dose) 2 x 10MG Capsule Therapy Pack,CPPK,1,0.00%,1,0.00%,"  25,708 ",0.09%
61874016030,Vraylar 6MG Capsule,CAPS,17,0.01%,3,0.01%,"  25,600 ",0.09%
72060014240,Caplyta 42MG Capsule,CAPS,17,0.01%,6,0.01%,"  25,568 ",0.09%
49884012591,Everolimus 5MG Tablet,TABS,11,0.01%,1,0.00%,"  25,348 ",0.09%
73562011001,Zenpep 10000-32000UNIT Capsule Delayed Release Particles,CPEP,9,0.01%,1,0.00%,"  25,153 ",0.09%
59148003613,Rexulti 0.5MG Tablet,TABS,16,0.01%,3,0.01%,"  25,096 ",0.09%
50242013201,Herceptin 150MG Solution Reconstituted,SOLR,1,0.00%,1,0.00%,"  24,696 ",0.09%
00024586903,Toujeo SoloStar 300UNIT/ML Solution Pen-injector,SOPN,47,0.04%,14,0.02%,"  24,583 ",0.09%
00169450514,Wegovy 0.5MG/0.5ML Solution Auto-injector,SOAJ,18,0.02%,8,0.01%,"  24,530 ",0.09%
00173064360,LaMICtal 150MG Tablet,TABS,18,0.02%,1,0.00%,"  23,520 ",0.08%
00003218851,Orencia ClickJect 125MG/ML Solution Auto-injector,SOAJ,4,0.00%,2,0.00%,"  23,425 ",0.08%
70370204001,Ingrezza 40MG Capsule,CAPS,1,0.00%,1,0.00%,"  23,357 ",0.08%
50458058030,Xarelto 10MG Tablet,TABS,34,0.03%,9,0.02%,"  23,274 ",0.08%
72974012001,Orgovyx 120MG Tablet,TABS,8,0.01%,3,0.01%,"  22,995 ",0.08%
66993001968,"Albuterol Sulfate HFA 108 (90 Base)MCG/ACT Aerosol, Solution",AERS,449,0.39%,264,0.45%,"  22,741 ",0.08%
81968035101,Sunosi 150MG Tablet,TABS,27,0.02%,5,0.01%,"  22,684 ",0.08%
00173086910,"Anoro Ellipta 62.5-25MCG/ACT Aerosol Powder, Breath Activated",AEPB,46,0.04%,10,0.02%,"  22,507 ",0.08%
24510007510,Nucynta 75MG Tablet,TABS,19,0.02%,1,0.00%,"  21,765 ",0.08%
73336007530,Gemtesa 75MG Tablet,TABS,40,0.03%,8,0.01%,"  21,697 ",0.08%
70165003030,Adzenys XR-ODT 18.8MG Tablet Extended Release Disintegrating,TBED,42,0.04%,4,0.01%,"  21,572 ",0.08%
00173064255,LaMICtal 100MG Tablet,TABS,18,0.02%,1,0.00%,"  21,465 ",0.08%
50474077066,Briviact 100MG Tablet,TABS,17,0.01%,2,0.00%,"  21,072 ",0.07%
00456120330,Linzess 72MCG Capsule,CAPS,29,0.03%,14,0.02%,"  20,865 ",0.07%
78206012601,Dulera 200-5MCG/ACT Aerosol,AERO,45,0.04%,12,0.02%,"  20,776 ",0.07%
00169450114,Wegovy 1MG/0.5ML Solution Auto-injector,SOAJ,15,0.01%,7,0.01%,"  20,409 ",0.07%
00169643210,Levemir FlexPen 100UNIT/ML Solution Pen-injector,SOPN,27,0.02%,8,0.01%,"  20,326 ",0.07%
00074024302,Humira 40MG/0.4ML Prefilled Syringe Kit,PSKT,3,0.00%,1,0.00%,"  20,311 ",0.07%
00002850101,HumuLIN R U-500 (CONCENTRATED) 500UNIT/ML Solution,SOLN,7,0.01%,1,0.00%,"  20,058 ",0.07%
58160082311,Shingrix 50MCG/0.5ML Suspension Reconstituted,SUSR,83,0.07%,62,0.11%,"  19,760 ",0.07%
43598058230,Buprenorphine HCl-Naloxone HCl 8-2MG Film,FILM,161,0.14%,20,0.03%,"  19,340 ",0.07%
55513019201,Neulasta Onpro 6MG/0.6ML Prefilled Syringe Kit,PSKT,1,0.00%,1,0.00%,"  19,339 ",0.07%
65649000330,Trulance 3MG Tablet,TABS,33,0.03%,7,0.01%,"  19,087 ",0.07%
64764073030,Trintellix 10MG Tablet,TABS,27,0.02%,12,0.02%,"  19,004 ",0.07%
50474059866,Keppra XR 500MG Tablet Extended Release 24 HR,TB24,6,0.01%,1,0.00%,"  18,724 ",0.07%
00169320111,Fiasp 100UNIT/ML Solution,SOLN,14,0.01%,4,0.01%,"  18,189 ",0.06%
00597016061,"Spiriva Respimat 1.25MCG/ACT Aerosol, Solution",AERS,33,0.03%,7,0.01%,"  18,132 ",0.06%
59572082030,Zeposia 0.92MG Capsule,CAPS,2,0.00%,1,0.00%,"  18,004 ",0.06%
65038042999,Azstarys 39.2-7.8MG Capsule,CAPS,39,0.03%,14,0.02%,"  17,850 ",0.06%
00006008061,Janumet XR 50-1000MG Tablet Extended Release 24 HR,TB24,34,0.03%,6,0.01%,"  17,715 ",0.06%
59676034001,Procrit 40000UNIT/ML Solution,SOLN,4,0.00%,1,0.00%,"  17,651 ",0.06%
00310183030,Fasenra Pen 30MG/ML Solution Auto-injector,SOAJ,3,0.00%,1,0.00%,"  17,576 ",0.06%
00378309785,Everolimus 5MG Tablet,TABS,5,0.00%,1,0.00%,"  17,337 ",0.06%
64764075030,Trintellix 20MG Tablet,TABS,29,0.03%,8,0.01%,"  17,265 ",0.06%
50474047066,Briviact 25MG Tablet,TABS,12,0.01%,1,0.00%,"  17,206 ",0.06%
68180096412,Tiotropium Bromide Monohydrate 18MCG Capsule,CAPS,26,0.02%,4,0.01%,"  17,147 ",0.06%
59148003713,Rexulti 1MG Tablet,TABS,12,0.01%,5,0.01%,"  17,107 ",0.06%
64842102001,Lonsurf 20-8.19MG Tablet,TABS,1,0.00%,1,0.00%,"  16,745 ",0.06%
00703068601,Treprostinil 100MG/20ML Solution,SOLN,1,0.00%,1,0.00%,"  16,548 ",0.06%
59148003813,Rexulti 2MG Tablet,TABS,12,0.01%,2,0.00%,"  16,528 ",0.06%
63000041338,Guardian 4 Glucose Sensor  Miscellaneous,MISC,30,0.03%,8,0.01%,"  16,521 ",0.06%
65649030302,Xifaxan 550MG Tablet,TABS,6,0.01%,3,0.01%,"  16,058 ",0.06%
66993045630,Dapagliflozin Propanediol 5MG Tablet,TABS,19,0.02%,8,0.01%,"  15,991 ",0.06%
00002248480,Zepbound 7.5MG/0.5ML Solution Auto-injector,SOAJ,16,0.01%,13,0.02%,"  15,930 ",0.06%
55513003201,Aranesp (Albumin Free) 500MCG/ML Solution Prefilled Syringe,SOSY,1,0.00%,1,0.00%,"  15,929 ",0.06%
00169451714,Wegovy 1.7MG/0.75ML Solution Auto-injector,SOAJ,12,0.01%,4,0.01%,"  15,897 ",0.06%
54123098630,Zubsolv 8.6-2.1MG Tablet Sublingual,SUBL,26,0.02%,1,0.00%,"  15,797 ",0.06%
65628027210,Konvomep 2-84MG/ML Suspension Reconstituted,SUSR,6,0.01%,1,0.00%,"  15,303 ",0.05%
00024576105,Soliqua 100-33UNT-MCG/ML Solution Pen-injector,SOPN,10,0.01%,2,0.00%,"  15,263 ",0.05%
81968004530,Auvelity 45-105MG Tablet Extended Release,TBCR,12,0.01%,4,0.01%,"  15,081 ",0.05%
00006307604,Prevymis 480MG Tablet,TABS,2,0.00%,1,0.00%,"  14,839 ",0.05%
00003052711,Sprycel 20MG Tablet,TABS,3,0.00%,1,0.00%,"  14,806 ",0.05%
80064014104,Vyleesi 1.75MG/0.3ML Solution Auto-injector,SOAJ,8,0.01%,1,0.00%,"  14,743 ",0.05%
66993013697,"Fluticasone Furoate-Vilanterol 200-25MCG/ACT Aerosol Powder, Breath Activated",AEPB,44,0.04%,12,0.02%,"  14,710 ",0.05%
00169430330,Rybelsus 3MG Tablet,TABS,15,0.01%,5,0.01%,"  14,662 ",0.05%
00169255013,Tresiba FlexTouch 200UNIT/ML Solution Pen-injector,SOPN,26,0.02%,11,0.02%,"  14,467 ",0.05%
00006022761,Isentress 400MG Tablet,TABS,3,0.00%,1,0.00%,"  14,436 ",0.05%
66993007996,Fluticasone Propionate HFA 110MCG/ACT Aerosol,AERO,61,0.05%,29,0.05%,"  14,369 ",0.05%
57894065102,#N/A,SOAJ,1,0.00%,1,0.00%,"  14,333 ",0.05%
00074709530,Qulipta 10MG Tablet,TABS,14,0.01%,3,0.01%,"  14,221 ",0.05%
00002144527,Taltz 80MG/ML Solution Auto-injector,SOAJ,1,0.00%,1,0.00%,"  14,191 ",0.05%
43598051263,Lenalidomide 10MG Capsule,CAPS,1,0.00%,1,0.00%,"  14,096 ",0.05%
83257001532,Insulin Glargine-yfgn 100UNIT/ML Solution Pen-injector,SOPN,82,0.07%,29,0.05%,"  14,008 ",0.05%
00469266030,Veozah 45MG Tablet,TABS,24,0.02%,11,0.02%,"  13,985 ",0.05%
08627001601,Dexcom G6 Transmitter  Miscellaneous,MISC,82,0.07%,30,0.05%,"  13,974 ",0.05%
00002247180,Zepbound 10MG/0.5ML Solution Auto-injector,SOAJ,14,0.01%,10,0.02%,"  13,916 ",0.05%
64406003002,Zurzuvae 25MG Capsule,CAPS,1,0.00%,1,0.00%,"  13,591 ",0.05%
