PROCEDURE_CODE,DRUG_NAME_WITH_FORM_STRENGTH,DOSAGE_FORM,TOTAL_BENEFIT_AMOUNT,BENEFIT_PERCENTAGE,CLAIM_COUNT,CLAIMS_FREQUENCY_PERCENTAGE,CARE_UUID
65862059805,Tamsulosin HCl 0.4MG Capsule,CAPS,"  4,604 ",0.02%,176,0.15%,dhbIogeAzLaCYFZQZlUF
68382056410,Metoprolol Succinate ER 25MG Tablet Extended Release 24 HR,TB24,"  3,543 ",0.01%,176,0.15%,care_b86ca68e74d811ec88020ab0a6670aa7
2822259,Insulin Lispro (1 Unit Dial) 100UNIT/ML Solution Pen-injector,SOPN,"  42,445 ",0.15%,175,0.15%,
65862042005,Sulfamethoxazole-Trimethoprim 800-160MG Tablet,TABS,"  2,956 ",0.01%,174,0.15%,UTngiuktNsZPFLbwNDXf
378668910,Pantoprazole Sodium 40MG Tablet Delayed Release,TBEC,"  2,981 ",0.01%,173,0.15%,
29300024505,busPIRone HCl 10MG Tablet,TABS,"  5,125 ",0.02%,171,0.15%,care_b7e2455c74d811ec88020ab0a6670aa7
406012301,HYDROcodone-Acetaminophen 5-325MG Tablet,TABS,"  3,572 ",0.01%,169,0.15%,
93310905,Amoxicillin 500MG Capsule,CAPS,"  1,651 ",0.01%,167,0.15%,
72205002399,Atorvastatin Calcium 20MG Tablet,TABS,"  3,128 ",0.01%,165,0.14%,care_b8b5a60274d811ec88020ab0a6670aa7
29300039705,amLODIPine Besylate 5MG Tablet,TABS,"  1,717 ",0.01%,164,0.14%,care_b7e270bb74d811ec88020ab0a6670aa7
43547028211,Escitalopram Oxalate 20MG Tablet,TABS,"  4,181 ",0.01%,163,0.14%,uJidNHsXlVrgiqkoTHPR
555901658,Sprintec 28 0.25-35MG-MCG Tablet,TABS,"  4,633 ",0.02%,162,0.14%,
43598058230,Buprenorphine HCl-Naloxone HCl 8-2MG Film,FILM,"  19,340 ",0.07%,161,0.14%,vWeGwhkEgVpiNiUrdiGJ
59651036205,Ibuprofen 800MG Tablet,TABS,"  4,398 ",0.02%,161,0.14%,care_b837711e74d811ec88020ab0a6670aa7
72205002299,Atorvastatin Calcium 10MG Tablet,TABS,"  2,532 ",0.01%,161,0.14%,care_f488398c45df11ed960e0e784fe75791
70377007813,Atorvastatin Calcium 20MG Tablet,TABS,"  2,805 ",0.01%,160,0.14%,care_3a218ef1-2a98-47ba-8074-1d9fb2730ba7
31722070110,Losartan Potassium 50MG Tablet,TABS,"  2,050 ",0.01%,159,0.14%,bnVkXrCsFgERyPHOrUgN
50111056003,traZODone HCl 50MG Tablet,TABS,"  3,592 ",0.01%,157,0.14%,care_b8113f3574d811ec88020ab0a6670aa7
68382013210,Tamsulosin HCl 0.4MG Capsule,CAPS,"  2,871 ",0.01%,157,0.14%,JgixXDlUbEffrREtuLza
68382050010,Omeprazole 40MG Capsule Delayed Release,CPDR,"  3,837 ",0.01%,155,0.13%,RZcEWzmzjJGimFuVxyqC
61958250101,Biktarvy 50-200-25MG Tablet,TABS,"  707,586 ",2.51%,154,0.13%,kwCeDxknMBvSCHtpjMyG
43547036211,Losartan Potassium 100MG Tablet,TABS,"  3,059 ",0.01%,154,0.13%,qmZwRKrZpuqTBgnHmjqj
430042014,Lo Loestrin Fe 1 MG-10 MCG /10 MCG Tablet,TABS,"  42,342 ",0.15%,151,0.13%,
24591502,Dupixent 300MG/2ML Solution Pen-injector,SOAJ,"  791,507 ",2.81%,150,0.13%,
51991074810,DULoxetine HCl 60MG Capsule Delayed Release Particles,CPEP,"  3,514 ",0.01%,150,0.13%,zxDoiVbaOTTqxfpOYMsg
68180086111,Azithromycin 250MG Tablet,TABS,"  2,943 ",0.01%,150,0.13%,care_df5ce14cea0511ed960e0e784fe75791
43547036111,Losartan Potassium 50MG Tablet,TABS,"  2,398 ",0.01%,150,0.13%,sZxOwRQSpEeXgVenNCFx
55111015810,Omeprazole 20MG Capsule Delayed Release,CPDR,"  2,873 ",0.01%,149,0.13%,VTEDlFHydibUENDwssAO
65862001501,Amoxicillin 875MG Tablet,TABS,"  1,861 ",0.01%,148,0.13%,wGxDtLEaLFHJaJchvIgH
65862001305,Sertraline HCl 100MG Tablet,TABS,"  4,106 ",0.01%,143,0.12%,cUoVVEUWycOAfdlYVJvo
68382056510,Metoprolol Succinate ER 50MG Tablet Extended Release 24 HR,TB24,"  2,378 ",0.01%,143,0.12%,care_b86ca8b774d811ec88020ab0a6670aa7
603459315,methylPREDNISolone 4MG Tablet Therapy Pack,TBPK,"  1,102 ",0.00%,143,0.12%,
42806041605,buPROPion HCl ER (XL) 300MG Tablet Extended Release 24 HR,TB24,"  4,482 ",0.02%,141,0.12%,care_295d4440992711eebd2d0ef87dacedbf
29300012510,Meloxicam 15MG Tablet,TABS,"  2,834 ",0.01%,141,0.12%,ILRcYGVTeMnojRIvvpgw
68180072103,amLODIPine Besylate 10MG Tablet,TABS,"  1,864 ",0.01%,141,0.12%,care_b86bf59274d811ec88020ab0a6670aa7
29300024405,busPIRone HCl 5MG Tablet,TABS,"  2,720 ",0.01%,140,0.12%,care_b7e2434574d811ec88020ab0a6670aa7
69097012715,amLODIPine Besylate 5MG Tablet,TABS,"  1,459 ",0.01%,138,0.12%,inInLNDPVhRHgCNRnEWD
8508300021,Omnipod 5 G6 Pod (Gen 5)  Miscellaneous,MISC,"  111,973 ",0.40%,137,0.12%,
173088710,"Trelegy Ellipta 100-62.5-25MCG/ACT Aerosol Powder, Breath Activated",AEPB,"  92,801 ",0.33%,137,0.12%,
2771559,Basaglar KwikPen 100UNIT/ML Solution Pen-injector,SOPN,"  58,518 ",0.21%,134,0.12%,
310737020,Budesonide-Formoterol Fumarate 160-4.5MCG/ACT Aerosol,AERO,"  28,571 ",0.10%,134,0.12%,
